,export,import,trading_deficit
408,5889551488,5078292155,-811259333
409,5091944315,5139283453,47339138
410,6025343551,5338872520,-686471031
411,5728432781,5223907982,-504524799
412,5316393212,5351016726,34623514
413,5968949205,5482362445,-486586760
414,5870245657,5389091497,-481154160
415,5956403435,5809884502,-146518933
416,6678921225,6043015940,-635905285
417,5420942231,6525955196,1105012965
418,6347122559,5542596765,-804525794
419,7227998277,6624525130,-603473147
420,6330189902,5851936101,-478253801
421,5851616236,6056015370,204399134
422,6607970983,6174724923,-433246060
423,6494640256,6088017434,-406622822
424,6278485972,6181724203,-96761769
425,6810697106,6156869043,-653828063
426,6692904349,6414349975,-278554374
427,6920011796,6814819280,-105192516
428,7303877381,6947697687,-356179694
429,6085961928,7049774500,963812572
430,6462796270,6476651298,13855028
431,7382097114,6597896496,-784200618
432,6822277991,6201319041,-620958950
433,6326873106,6904236053,577362947
434,7053834838,6326051061,-727783777
435,6747929534,6975313401,227383867
436,6687800164,7135886370,448086206
437,6716828606,6592719966,-124108640
438,7243462777,7699726891,456264114
439,6927096583,7666199894,739103311
440,7021793763,7077529424,55735661
441,5574422796,6998477150,1424054354
442,6385419289,6056654309,-328764980
443,7202147128,6684855302,-517291826
444,6664294468,6605306456,-58988012
445,5837841427,6803248902,965407475
446,6585086798,5996977351,-588109447
447,6643459913,6897340870,253880957
448,6138719941,6290930402,152210461
449,6368995881,6498069405,129073524
450,6576171779,6565009115,-11162664
451,6379008038,6467394442,88386404
452,6576097457,6735246247,159148790
453,5432348012,6747750234,1315402222
454,6319700664,5209974677,-1109725987
455,6357067568,6355178684,-1888884
456,5204911275,6150406963,945495688
457,4185564654,5055394444,869829790
458,4860301956,5163528428,303226472
459,5368018396,5400759788,32741392
460,5233082121,5017029756,-216052365
461,6053799683,5401466783,-652332900
462,6564757473,5723961785,-840795688
463,6113035528,5787125925,-325909603
464,6706533717,5998254122,-708279595
465,5779506317,6150160389,370654072
466,6038347717,5871044739,-167302978
467,7377555214,6767712698,-609842516
468,7180252387,6962383659,-217868728
469,6260587223,6478439324,217852101
470,7223788223,6862596095,-361192128
471,7354679265,6926264153,-428415112
472,6604917929,7268354141,663436212
473,6840511414,7489454967,648943553
474,7183224055,7273940522,90716467
475,7366962876,8340520151,973557275
476,7881087673,8484173753,603086080
477,6330278498,8580007859,2249729361
478,7188936731,7926547995,737611264
479,8458470235,8950510506,492040271
480,8075341574,8963527893,888186319
481,7250949108,9654188756,2403239648
482,8613709671,10014752153,1401042482
483,8752791678,10232625175,1479833497
484,8060539330,10851594137,2791054807
485,8817639811,10942935221,2125295410
486,9001316536,11207259741,2205943205
487,8836797015,10894434759,2057637744
488,8786841902,10284768584,1497926682
489,6550044958,10078054113,3528009155
490,7654026140,8582934049,928907909
491,8823048792,9573902508,750853716
492,8290869172,8720663103,429793931
493,7291662036,8673916394,1382254358
494,8740853485,8704331435,-36522050
495,8724170541,8785496099,61325558
496,7994407468,8934512304,940104836
497,9198736764,9138180941,-60555823
498,9145120270,9813308844,668188574
499,8817967103,9606294935,788327832
500,9642926012,9584044267,-58881745
501,7332754388,9099294967,1766540579
502,8249204131,8632181545,382977414
503,9469324845,9086925557,-382399288
